domain,url
en.wikipedia.org,https://en.wikipedia.org/wiki/Labour_Party_(UK)
en.wikipedia.org,https://en.wikipedia.org/wiki/Israel%E2%80%93Hamas_war
en.wikipedia.org,https://en.wikipedia.org/wiki/2024_Iranian_presidential_election
en.wikipedia.org,https://en.wikipedia.org/wiki/President_of_Iran
en.wikipedia.org,https://en.wikipedia.org/wiki/Masoud_Pezeshkian
en.wikipedia.org,https://en.wikipedia.org/wiki/Iranian_reformists
en.wikipedia.org,https://en.wikipedia.org/wiki/Majority_government
en.wikipedia.org,https://en.wikipedia.org/wiki/2024_French_legislative_election
en.wikipedia.org,"https://en.wikipedia.org/wiki/Butler,_Pennsylvania"
en.wikipedia.org,https://en.wikipedia.org/wiki/New_Popular_Front
en.wikipedia.org,https://en.wikipedia.org/wiki/National_Assembly_(France)
en.wikipedia.org,https://en.wikipedia.org/wiki/Attempted_assassination_of_Donald_Trump
en.wikipedia.org,https://en.wikipedia.org/wiki/Wikipedia:In_the_news/Candidates
en.wikipedia.org,https://en.wikipedia.org/wiki/Help:Your_first_article
en.wikipedia.org,https://en.wikipedia.org/wiki/Donald_Trump
en.wikipedia.org,https://en.wikipedia.org/wiki/Wikipedia:Recent_additions
en.wikipedia.org,https://en.wikipedia.org/wiki/Infested
en.wikipedia.org,https://en.wikipedia.org/wiki/Pro_bono
en.wikipedia.org,https://en.wikipedia.org/wiki/Discrimination_against_Chinese_Indonesians
en.wikipedia.org,https://en.wikipedia.org/wiki/Oen_Boen_Ing
en.wikipedia.org,https://en.wikipedia.org/wiki/Mindustry
en.wikipedia.org,https://en.wikipedia.org/wiki/GNU_General_Public_License
en.wikipedia.org,https://en.wikipedia.org/wiki/YMCA_Building_(San_Diego)
en.wikipedia.org,https://en.wikipedia.org/wiki/United_States_women%27s_national_deaf_soccer_team
en.wikipedia.org,https://en.wikipedia.org/wiki/Buddy_film
en.wikipedia.org,https://en.wikipedia.org/wiki/Manga
en.wikipedia.org,https://en.wikipedia.org/wiki/Emily_Spreeman
en.wikipedia.org,https://en.wikipedia.org/wiki/Adam_and_Eve
en.wikipedia.org,https://en.wikipedia.org/wiki/July_13
en.wikipedia.org,https://en.wikipedia.org/wiki/Gordon_Cooper_(American_football)
